Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
1998,AL,Mike Cameron,25,CHW,141,443,396,53,83,16,5,8,43,37,101,0.21,0.285,0.336,0.621,133
1998,AL,Tom Candiotti,40,OAK,1,2,1,0,1,1,0,0,0,0,0,1,1,2,3,2
1998,AL,Jose Canseco,33,TOR,151,658,583,98,138,26,0,46,107,65,159,0.237,0.318,0.518,0.836,302
1998,AL,Chris Carpenter,23,TOR,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,AL,Hector Carrasco,28,MIN,2,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Joe Carter,38,BAL,85,303,283,36,70,15,1,11,34,18,48,0.247,0.297,0.424,0.721,120
1998,AL,Mike Caruso,21,CHW,133,555,523,81,160,17,6,5,55,14,38,0.306,0.331,0.39,0.721,204
1998,AL,Raul Casanova,25,DET,16,48,42,4,6,2,0,1,3,5,10,0.143,0.25,0.262,0.512,11
1998,AL,Carlos Castillo,23,CHW,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,AL,Frank Castillo,29,DET,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,AL,Tony Castillo,35,CHW,2,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Frank Catalanotto,24,DET,89,234,213,23,60,13,2,6,25,12,39,0.282,0.325,0.446,0.771,95
1998,AL,Domingo Cedeno,29,TEX,61,153,141,19,37,9,1,2,21,10,32,0.262,0.309,0.383,0.692,54
1998,AL,Norm Charlton,35,BAL,3,0,0,0,0,0,0,0,0,0,0,,,,,0
1998,AL,Eric Chavez,20,OAK,16,48,45,6,14,4,1,0,6,3,5,0.311,0.354,0.444,0.799,20
1998,AL,Raul Chavez,25,SEA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,AL,Ryan Christenson,24,OAK,117,421,370,56,95,22,2,5,40,36,106,0.257,0.321,0.368,0.689,136
1998,AL,Tony Clark,26,DET,157,673,602,84,175,37,0,34,103,63,128,0.291,0.358,0.522,0.88,314
1998,AL,Will Clark,34,TEX,149,636,554,98,169,41,1,23,102,72,97,0.305,0.384,0.507,0.891,281
1998,AL,Royce Clayton,28,TEX,52,206,186,30,53,12,1,5,24,13,32,0.285,0.33,0.441,0.771,82
1998,AL,Roger Clemens,35,TOR,2,6,4,0,0,0,0,0,0,1,0,0,0.2,0,0.2,0
