Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
2005,NL,Ben Weber,35,CIN,10,0,0,0,0,0,0,0,0,0,0,,,,,0
2005,NL,Craig Wilson,28,PIT,59,238,197,23,52,14,1,5,22,30,69,0.264,0.387,0.421,0.808,83
2005,NL,Randy Winn,31,SFG,58,247,231,39,83,22,5,14,26,11,38,0.359,0.391,0.68,1.071,157
2006,AL,Bobby Abreu,32,NYY,58,248,209,37,69,16,0,7,42,33,52,0.33,0.419,0.507,0.926,106
2006,AL,Sandy Alomar,40,CHW,19,51,46,5,10,3,0,1,8,3,7,0.217,0.255,0.348,0.603,16
2006,AL,Adrian Beltre,27,SEA,156,681,620,88,166,39,4,25,89,47,118,0.268,0.328,0.465,0.792,288
2006,AL,Casey Blake,32,CLE,109,456,401,63,113,20,1,19,68,45,93,0.282,0.356,0.479,0.835,192
2006,AL,Aaron Boone,33,CLE,104,392,354,50,89,19,1,7,46,27,62,0.251,0.314,0.37,0.684,131
2006,AL,Milton Bradley,28,OAK,96,405,351,53,97,14,2,14,52,51,65,0.276,0.37,0.447,0.818,157
2006,AL,Frank Catalanotto,32,TOR,128,499,437,56,131,36,2,7,56,52,37,0.3,0.376,0.439,0.816,192
2006,AL,Eric Chavez,28,OAK,137,576,485,74,117,24,2,22,72,84,100,0.241,0.351,0.435,0.786,211
2006,AL,Jose Contreras,34,CHW,2,6,4,1,0,0,0,0,0,2,2,0,0.333,0,0.333,0
2006,AL,Johnny Damon,32,NYY,149,671,593,115,169,35,5,24,80,67,85,0.285,0.359,0.482,0.841,286
2006,AL,Carl Everett,35,SEA,92,343,308,37,70,8,0,11,33,29,57,0.227,0.297,0.36,0.658,111
2006,AL,Freddy Garcia,29,CHW,2,6,5,0,1,0,0,0,0,0,2,0.2,0.2,0.2,0.4,1
2006,AL,Jason Giambi,35,NYY,139,579,446,92,113,25,0,37,113,110,106,0.253,0.413,0.558,0.971,249
2006,AL,Jay Gibbons,29,BAL,90,378,343,34,95,23,0,13,46,32,48,0.277,0.341,0.458,0.799,157
2006,AL,Troy Glaus,29,TOR,153,634,540,105,136,27,0,38,104,86,134,0.252,0.355,0.513,0.868,277
2006,AL,Jerry Hairston,30,TEX,63,100,88,17,18,3,1,0,6,9,20,0.205,0.286,0.261,0.547,23
2006,AL,Shea Hillenbrand,30,TOR,81,319,296,40,89,15,1,12,39,14,40,0.301,0.342,0.48,0.821,142
2006,AL,Javier Lopez,28,BOS,3,0,0,0,0,0,0,0,0,0,0,,,,,0
2006,AL,Gary Matthews,31,TEX,147,690,620,102,194,44,6,19,79,58,99,0.313,0.371,0.495,0.866,307
2006,AL,Craig Monroe,29,DET,147,585,541,89,138,35,2,28,92,37,126,0.255,0.301,0.482,0.783,261
2006,AL,Melvin Mora,34,BAL,155,705,624,96,171,25,0,16,83,54,99,0.274,0.342,0.391,0.733,244
2006,AL,Trot Nixon,32,BOS,114,453,381,59,102,24,0,8,52,60,56,0.268,0.373,0.394,0.767,150
2006,AL,Magglio Ordonez,32,DET,155,646,593,82,177,32,1,24,104,45,87,0.298,0.35,0.477,0.827,283
2006,AL,David Ortiz,30,BOS,151,686,558,115,160,29,2,54,137,119,117,0.287,0.413,0.636,1.049,355
2006,AL,Corey Patterson,26,BAL,135,499,463,75,128,19,5,16,53,21,94,0.276,0.314,0.443,0.757,205
2006,AL,Manny Ramirez,34,BOS,130,558,449,79,144,27,1,35,102,100,102,0.321,0.439,0.619,1.058,278
2006,AL,Brian Roberts,28,BAL,138,630,563,85,161,34,3,10,55,55,66,0.286,0.347,0.41,0.757,231
2006,AL,Alex Rodriguez,30,NYY,154,674,572,113,166,26,1,35,121,90,139,0.29,0.392,0.523,0.914,299
2006,AL,Ivan Rodriguez,34,DET,136,580,547,74,164,28,4,13,69,26,86,0.3,0.332,0.437,0.769,239
2006,AL,Richie Sexson,31,SEA,158,663,591,75,156,40,0,34,107,64,154,0.264,0.338,0.504,0.842,298
2006,AL,Gary Sheffield,37,NYY,39,166,151,22,45,5,0,6,25,13,16,0.298,0.355,0.45,0.806,68
2006,AL,Fernando Tatis,31,BAL,28,64,56,7,14,6,1,2,8,6,17,0.25,0.313,0.5,0.813,28
2006,AL,Miguel Tejada,32,BAL,162,709,648,99,214,37,0,24,100,46,79,0.33,0.379,0.498,0.878,323
